,Date,Departure Time,Revenue ($),Passengers (First Class),Passengers (Business Class),Passengers (Economy Class),Origin,Destination,Pod,Distance (km),Flight Number,Aircraft Type,Departure Gate,Arrival Gate,Airline
551,2023-06-29,11:27,1836.0,5.0,15.0,79.8,DXB,LHR,B,3044.0,344.0,Boeing 737,C,D,American Airlines
557,2023-06-16,14:57,4047.0,1.0,30.0,57.0,LHR,SIN,A,4922.0,925.0,Airbus A380,C,D,Emirates
558,2023-06-30,10:11,3687.0,4.0,15.0,114.0,LHR,LHR,A,1671.0,871.0,Airbus A380,D,C,British Airways
559,2023-06-23,00:53,1672.0,9.0,23.0,142.8,SYD,LAX,B,4081.0,466.0,Boeing 737,C,A,American Airlines
560,2023-06-16,13:34,4527.0,2.0,24.0,75.60000000000001,DXB,HND,B,1795.0,907.0,Airbus A380,A,B,Qantas
565,2023-07-02,05:00,1098.0,5.0,11.0,99.0,ORD,LAX,A,2543.0,276.0,Airbus A380,A,C,American Airlines
566,2023-06-16,21:34,4082.0,5.0,10.0,181.0,LHR,LHR,A,3096.0,391.0,Airbus A320,C,C,Emirates
567,2023-06-12,06:46,1557.0,3.0,17.0,155.4,DXB,SIN,B,3448.0,328.0,Airbus A320,D,C,Qantas
571,2023-07-03,15:06,1728.0,7.0,27.0,67.0,JFK,LHR,A,4327.0,253.0,Boeing 737,A,B,British Airways
578,2023-06-23,12:04,3676.0,2.0,21.0,56.7,AMS,SIN,B,4116.0,814.0,Airbus A320,C,A,British Airways
579,2023-06-24,20:19,3818.0,9.0,29.0,171.15,DXB,LHR,B,1633.0,581.0,Boeing 777,A,D,Emirates
580,2023-06-13,02:36,4335.0,6.0,23.0,66.15,DXB,HND,B,2803.0,107.0,Boeing 737,A,C,American Airlines
581,2023-07-05,22:56,3437.0,6.0,26.0,180.6,DXB,HND,B,2858.0,761.0,Airbus A320,C,D,Emirates
587,2023-07-05,16:59,1099.0,2.0,17.0,186.0,ORD,LAX,A,3629.0,314.0,Boeing 777,B,C,Qantas
594,2023-06-21,20:56,4034.0,2.0,20.0,70.35000000000001,SYD,LHR,B,4084.0,189.0,Boeing 777,A,D,British Airways
595,2023-07-03,10:43,4048.0,2.0,19.0,76.0,JFK,SIN,A,4897.0,784.0,Airbus A320,D,B,American Airlines
599,2023-07-05,03:36,4479.0,8.0,28.0,58.0,JFK,LHR,A,3955.0,545.0,Airbus A320,B,B,Emirates
604,2023-06-13,20:19,1547.0,4.0,20.0,127.0,JFK,SIN,A,3482.0,792.0,Boeing 737,C,A,Emirates
613,2023-06-21,00:54,3555.0,2.0,26.0,119.0,JFK,CDG,A,4114.0,593.0,Boeing 737,B,D,Emirates
614,2023-06-18,08:45,3622.0,6.0,28.0,122.85,DXB,CDG,B,2517.0,364.0,Boeing 777,D,C,Qantas
617,2023-06-19,09:22,1940.0,8.0,20.0,198.0,ORD,CDG,A,3160.0,811.0,Boeing 777,C,A,Emirates
625,2023-06-28,19:16,1701.0,2.0,28.0,180.6,DXB,LHR,B,2675.0,739.0,Airbus A380,A,A,Emirates
626,2023-06-15,15:15,4714.0,5.0,12.0,92.0,LHR,SIN,A,3967.0,519.0,Boeing 777,A,A,Emirates
627,2023-06-19,12:52,2120.0,5.0,21.0,170.0,ORD,BOG,A,4403.0,919.0,Boeing 737,C,D,Emirates
628,2023-07-02,02:35,3332.0,1.0,22.0,173.25,DXB,LHR,B,3998.0,216.0,Boeing 737,A,A,Qantas
629,2023-06-26,21:08,4756.0,1.0,24.0,123.0,JFK,CDG,A,4509.0,635.0,Airbus A320,A,B,Emirates
630,2023-06-20,11:07,4040.0,7.0,28.0,55.0,LHR,HND,A,2962.0,825.0,Airbus A380,C,A,Emirates
631,2023-06-22,03:02,1699.0,8.0,10.0,195.3,DXB,LHR,B,1953.0,482.0,Airbus A380,A,D,American Airlines
632,2023-06-16,02:15,2502.0,7.0,21.0,176.4,SYD,SIN,B,2577.0,549.0,Boeing 737,A,D,American Airlines
633,2023-06-23,20:43,4268.0,7.0,21.0,105.0,SYD,HND,B,3939.0,896.0,Boeing 777,A,B,Qantas
635,2023-06-16,00:48,1499.0,5.0,24.0,119.7,SYD,HND,B,3762.0,704.0,Boeing 737,D,A,Emirates
639,2023-07-02,02:26,1469.0,7.0,10.0,102.0,ORD,BOG,A,1795.0,350.0,Boeing 777,A,C,British Airways
643,2023-06-22,09:37,3541.0,8.0,30.0,124.0,LHR,BOG,A,4756.0,297.0,Boeing 737,C,B,Emirates
644,2023-06-20,20:03,3057.0,4.0,29.0,63.0,LHR,BOG,A,4208.0,428.0,Boeing 737,A,B,American Airlines
645,2023-06-18,19:11,1746.0,6.0,23.0,146.0,ORD,SIN,A,4727.0,397.0,Boeing 777,A,B,Qantas
646,2023-06-09,12:55,4580.0,10.0,25.0,98.0,ORD,LAX,A,4071.0,981.0,Boeing 777,D,A,Qantas
654,2023-06-14,22:09,4312.0,3.0,17.0,98.7,AMS,CDG,B,4494.0,938.0,Airbus A320,B,D,British Airways
658,2023-06-12,09:28,4206.0,10.0,24.0,74.55,AMS,CDG,B,1848.0,998.0,Airbus A320,A,B,British Airways
662,2023-06-28,05:57,3355.0,5.0,26.0,146.0,LHR,HND,A,4606.0,890.0,Boeing 737,D,D,Emirates
663,2023-06-12,05:08,2008.0,9.0,22.0,140.0,JFK,CDG,A,4992.0,126.0,Boeing 777,A,C,British Airways
664,2023-06-15,09:29,4402.0,10.0,22.0,154.0,LHR,BOG,A,3610.0,160.0,Boeing 737,A,B,Emirates
667,2023-07-04,06:59,4994.0,9.0,23.0,205.8,DXB,HND,B,1658.0,320.0,Airbus A380,C,C,Emirates
668,2023-06-27,02:26,3745.0,4.0,23.0,146.0,ORD,BOG,A,3746.0,539.0,Boeing 777,B,B,Qantas
669,2023-06-12,15:38,1085.0,10.0,23.0,76.65,SYD,LHR,B,1196.0,739.0,Boeing 737,D,B,American Airlines
672,2023-06-08,12:44,2142.0,5.0,21.0,177.45000000000002,DXB,LHR,B,4621.0,642.0,Boeing 737,B,D,Qantas
674,2023-06-10,21:29,3964.0,4.0,28.0,59.0,ORD,LHR,A,3725.0,626.0,Airbus A380,C,B,Emirates
675,2023-07-01,12:56,2395.0,4.0,29.0,171.0,JFK,CDG,A,4545.0,337.0,Airbus A380,A,C,American Airlines
678,2023-06-25,17:44,4553.0,4.0,10.0,63.0,DXB,CDG,B,4699.0,497.0,Boeing 737,A,B,Qantas
679,2023-06-12,13:34,2439.0,1.0,11.0,75.0,ORD,CDG,A,3599.0,597.0,Airbus A380,C,A,American Airlines
684,2023-06-23,16:56,4188.0,1.0,14.0,118.0,ORD,BOG,A,2194.0,256.0,Airbus A320,C,C,American Airlines
686,2023-06-27,21:30,2316.0,5.0,21.0,113.4,DXB,CDG,B,1614.0,447.0,Boeing 777,B,B,Emirates
689,2023-06-22,10:55,3486.0,1.0,27.0,124.95,DXB,HND,B,2476.0,866.0,Boeing 777,C,B,American Airlines
692,2023-06-15,11:55,4110.0,5.0,18.0,157.5,DXB,HND,B,4654.0,566.0,Airbus A380,B,C,Emirates
693,2023-06-28,13:03,4090.0,9.0,22.0,126.0,DXB,BOG,B,1464.0,375.0,Airbus A320,D,B,British Airways
694,2023-06-27,09:56,4387.0,4.0,17.0,198.0,JFK,HND,A,3971.0,294.0,Boeing 777,A,C,Emirates
699,2023-07-01,04:35,4447.0,1.0,27.0,126.0,SYD,LHR,B,1796.0,628.0,Boeing 737,C,B,Qantas
700,2023-06-28,06:41,2475.0,6.0,15.0,106.05,DXB,CDG,B,1444.0,512.0,Airbus A320,C,B,Qantas
703,2023-06-26,19:30,2417.0,6.0,29.0,98.7,DXB,BOG,B,1942.0,599.0,Boeing 737,A,B,Emirates
705,2023-06-06,19:35,2754.0,10.0,20.0,59.0,JFK,LAX,A,3542.0,446.0,Boeing 777,C,C,American Airlines
706,2023-06-06,11:20,2999.0,7.0,26.0,198.0,LHR,LHR,A,1974.0,423.0,Airbus A380,C,D,American Airlines
707,2023-06-30,22:09,4899.0,8.0,19.0,156.45000000000002,AMS,LHR,B,4846.0,724.0,Boeing 737,A,C,Qantas
708,2023-06-06,18:37,1981.0,2.0,30.0,166.0,LHR,LAX,A,3259.0,633.0,Airbus A320,A,B,American Airlines
709,2023-06-17,02:24,2740.0,6.0,17.0,128.1,DXB,BOG,B,4066.0,831.0,Airbus A320,B,B,British Airways
712,2023-06-10,23:06,2568.0,8.0,20.0,112.35,AMS,BOG,B,1838.0,986.0,Airbus A380,C,B,British Airways
713,2023-06-28,14:11,2319.0,10.0,17.0,68.25,SYD,HND,B,2508.0,991.0,Boeing 737,B,B,Emirates
714,2023-06-30,17:21,1869.0,9.0,14.0,84.0,LHR,LHR,A,4546.0,280.0,Boeing 737,B,D,British Airways
715,2023-06-16,05:47,4942.0,3.0,30.0,182.0,LHR,LHR,A,1955.0,213.0,Airbus A320,D,B,Emirates
717,2023-06-22,16:38,4654.0,7.0,15.0,137.0,JFK,HND,A,3496.0,360.0,Airbus A320,D,A,British Airways
724,2023-06-11,23:59,2682.0,3.0,30.0,93.45,DXB,BOG,B,1702.0,695.0,Boeing 777,C,A,Qantas
728,2023-06-11,15:31,2211.0,9.0,14.0,170.0,JFK,BOG,A,1546.0,533.0,Boeing 777,B,C,Emirates
731,2023-06-11,06:12,4521.0,8.0,23.0,145.95000000000002,DXB,CDG,B,3203.0,203.0,Boeing 777,D,A,Emirates
734,2023-06-20,13:15,1807.0,2.0,18.0,114.0,LHR,HND,A,1508.0,441.0,Boeing 777,A,D,Qantas
736,2023-06-22,01:03,4435.0,7.0,16.0,129.15,AMS,LHR,B,4020.0,273.0,Airbus A380,A,B,Emirates
741,2023-06-13,07:30,2281.0,5.0,17.0,201.6,AMS,SIN,B,3045.0,451.0,Airbus A320,B,B,British Airways
745,2023-06-22,11:01,2697.0,1.0,12.0,150.15,AMS,HND,B,3211.0,784.0,Boeing 737,B,C,Emirates
749,2023-07-03,00:09,1756.0,1.0,22.0,77.7,DXB,SIN,B,3377.0,925.0,Airbus A320,D,A,British Airways
750,2023-06-22,04:41,1443.0,8.0,25.0,178.0,LHR,HND,A,1818.0,762.0,Boeing 777,B,B,Qantas
751,2023-06-25,14:18,3190.0,1.0,18.0,80.0,LHR,CDG,A,4581.0,307.0,Airbus A320,D,B,British Airways
752,2023-07-05,04:11,4514.0,7.0,19.0,159.6,DXB,LAX,B,3013.0,225.0,Airbus A320,D,D,American Airlines
758,2023-06-10,02:47,4698.0,6.0,29.0,147.0,ORD,HND,A,4360.0,418.0,Boeing 737,B,C,British Airways
761,2023-07-04,19:54,3901.0,2.0,15.0,53.55,SYD,BOG,B,3961.0,526.0,Airbus A380,A,B,Qantas
766,2023-06-07,20:17,1056.0,3.0,29.0,124.95,AMS,LAX,B,1160.0,927.0,Boeing 737,A,C,Qantas
768,2023-06-07,13:16,4487.0,5.0,27.0,169.05,DXB,LAX,B,4344.0,917.0,Boeing 737,B,B,American Airlines
774,2023-06-29,01:24,1663.0,6.0,15.0,166.95000000000002,DXB,SIN,B,1133.0,872.0,Airbus A380,A,B,American Airlines
775,2023-06-09,22:31,3219.0,9.0,26.0,70.35000000000001,DXB,LHR,B,2527.0,350.0,Boeing 777,D,C,American Airlines
777,2023-06-11,16:31,4367.0,7.0,29.0,92.0,JFK,HND,A,1863.0,744.0,Boeing 737,A,A,British Airways
778,2023-06-29,17:28,1147.0,5.0,12.0,121.8,SYD,SIN,B,3072.0,129.0,Boeing 777,D,D,Qantas
781,2023-06-18,21:43,2077.0,8.0,23.0,129.0,LHR,LHR,A,3958.0,333.0,Airbus A380,A,A,American Airlines
785,2023-06-07,17:32,1257.0,1.0,26.0,63.0,SYD,CDG,B,4761.0,431.0,Airbus A320,D,C,British Airways
787,2023-06-11,03:28,4900.0,6.0,12.0,198.0,JFK,HND,A,4509.0,624.0,Boeing 737,C,A,Qantas
790,2023-06-22,17:20,4799.0,7.0,28.0,143.0,LHR,LHR,A,2126.0,412.0,Airbus A380,D,A,Emirates
800,2023-06-07,00:28,3212.0,5.0,13.0,118.65,DXB,HND,B,1163.0,488.0,Airbus A380,D,B,Qantas
802,2023-06-25,22:50,3367.0,6.0,28.0,112.0,JFK,BOG,A,2769.0,887.0,Airbus A380,C,D,Qantas
803,2023-06-06,00:32,4238.0,3.0,27.0,51.0,JFK,SIN,A,3520.0,920.0,Airbus A320,A,A,Emirates
804,2023-06-22,17:27,1530.0,3.0,14.0,122.0,LHR,LAX,A,2931.0,687.0,Boeing 777,D,B,Qantas
805,2023-06-15,23:12,1551.0,10.0,13.0,112.0,LHR,BOG,A,1849.0,166.0,Airbus A380,C,A,Emirates
808,2023-07-02,17:39,2062.0,6.0,13.0,147.0,LHR,LAX,A,4110.0,461.0,Airbus A380,D,A,Qantas
814,2023-06-18,03:45,3841.0,8.0,20.0,74.55,DXB,SIN,B,4471.0,379.0,Boeing 737,C,B,American Airlines
815,2023-06-23,16:41,1823.0,5.0,29.0,176.0,JFK,BOG,A,2409.0,305.0,Airbus A380,A,A,American Airlines
816,2023-06-14,17:03,2273.0,3.0,24.0,132.0,LHR,CDG,A,1087.0,740.0,Boeing 777,D,B,Emirates
818,2023-06-24,19:43,4799.0,9.0,20.0,64.0,JFK,LHR,A,3908.0,147.0,Airbus A380,D,A,American Airlines
821,2023-06-17,06:50,2153.0,8.0,23.0,72.0,JFK,SIN,A,4274.0,523.0,Airbus A380,C,C,Emirates
822,2023-06-25,14:36,1692.0,4.0,11.0,98.0,JFK,BOG,A,2457.0,276.0,Airbus A320,C,B,American Airlines
823,2023-06-08,10:54,4161.0,9.0,19.0,72.45,SYD,CDG,B,4025.0,926.0,Boeing 737,C,D,Emirates
829,2023-06-18,06:12,2630.0,6.0,21.0,168.0,ORD,CDG,A,4636.0,556.0,Boeing 737,A,B,Emirates
832,2023-06-30,03:10,1796.0,6.0,14.0,135.45000000000002,DXB,CDG,B,1276.0,930.0,Airbus A380,A,C,Qantas
840,2023-06-28,08:00,3753.0,1.0,22.0,200.55,SYD,LAX,B,2175.0,146.0,Boeing 737,C,A,British Airways
841,2023-07-01,08:47,3783.0,8.0,20.0,180.6,AMS,CDG,B,4382.0,364.0,Boeing 777,A,C,British Airways
844,2023-06-21,00:50,2249.0,4.0,27.0,151.20000000000002,DXB,CDG,B,4215.0,513.0,Boeing 777,B,C,Emirates
847,2023-07-05,03:37,1409.0,6.0,14.0,179.0,LHR,SIN,A,1139.0,303.0,Airbus A380,B,A,British Airways
848,2023-06-06,09:13,3715.0,1.0,23.0,87.15,DXB,LAX,B,2346.0,562.0,Boeing 737,C,C,Qantas
853,2023-06-16,21:45,1706.0,2.0,25.0,119.0,JFK,HND,A,2784.0,469.0,Airbus A380,C,B,Emirates
856,2023-06-28,08:33,1696.0,3.0,20.0,146.0,JFK,CDG,A,2367.0,639.0,Airbus A380,C,A,Emirates
857,2023-07-05,00:30,4055.0,2.0,11.0,66.0,JFK,BOG,A,1991.0,932.0,Airbus A320,D,C,Qantas
858,2023-06-08,13:58,1684.0,6.0,17.0,67.0,ORD,HND,A,2153.0,171.0,Boeing 777,B,D,British Airways
861,2023-06-15,22:05,3606.0,9.0,12.0,185.85,AMS,LHR,B,3867.0,189.0,Boeing 777,D,A,Emirates
862,2023-06-07,06:49,4892.0,2.0,17.0,59.85,AMS,BOG,B,2175.0,275.0,Airbus A320,D,B,American Airlines
866,2023-06-19,21:33,1457.0,8.0,30.0,132.3,AMS,SIN,B,1234.0,561.0,Airbus A320,B,D,Emirates
867,2023-06-11,00:30,4763.0,8.0,11.0,89.25,DXB,SIN,B,1965.0,268.0,Boeing 777,B,B,Emirates
868,2023-07-02,04:00,2392.0,10.0,30.0,175.0,JFK,HND,A,3782.0,563.0,Airbus A380,D,C,British Airways
872,2023-06-20,11:56,3007.0,4.0,14.0,206.85,AMS,LAX,B,2673.0,895.0,Airbus A320,A,A,British Airways
873,2023-06-25,07:08,2727.0,9.0,17.0,142.8,SYD,LHR,B,2545.0,839.0,Airbus A380,B,C,American Airlines
876,2023-06-30,18:57,4346.0,6.0,27.0,91.0,JFK,LHR,A,4951.0,293.0,Boeing 737,B,D,American Airlines
878,2023-06-20,14:31,1236.0,10.0,17.0,156.0,LHR,SIN,A,3221.0,729.0,Boeing 777,D,D,Qantas
880,2023-06-18,08:08,3401.0,10.0,21.0,145.0,LHR,SIN,A,3450.0,320.0,Boeing 777,B,D,Qantas
886,2023-06-13,23:49,2695.0,3.0,18.0,178.5,SYD,LHR,B,2868.0,342.0,Airbus A380,C,B,Qantas
888,2023-06-14,23:41,4720.0,7.0,19.0,100.0,ORD,HND,A,2960.0,561.0,Boeing 737,C,A,Qantas
897,2023-06-15,01:06,4127.0,2.0,29.0,74.55,AMS,BOG,B,1687.0,795.0,Boeing 777,B,D,American Airlines
900,2023-06-14,01:24,4748.0,9.0,21.0,106.0,ORD,HND,A,3325.0,245.0,Airbus A380,C,C,Emirates
901,2023-06-28,10:21,4322.0,9.0,24.0,120.75,SYD,SIN,B,1762.0,777.0,Boeing 737,C,C,Qantas
903,2023-06-15,06:29,1736.0,7.0,20.0,143.0,ORD,BOG,A,2641.0,626.0,Airbus A320,C,B,Emirates
912,2023-06-12,01:54,4109.0,3.0,20.0,75.60000000000001,AMS,SIN,B,3320.0,498.0,Airbus A380,B,B,British Airways
913,2023-06-27,05:11,2524.0,4.0,30.0,71.4,AMS,SIN,B,1454.0,819.0,Boeing 777,B,A,British Airways
916,2023-06-11,09:17,4374.0,6.0,12.0,106.0,LHR,SIN,A,3448.0,996.0,Boeing 737,A,C,American Airlines
926,2023-07-01,23:36,3717.0,3.0,30.0,117.0,JFK,CDG,A,2671.0,308.0,Boeing 777,D,B,British Airways
927,2023-06-28,10:35,4120.0,5.0,22.0,200.55,DXB,LAX,B,3842.0,811.0,Boeing 737,A,B,Qantas
929,2023-06-12,14:32,3890.0,4.0,18.0,134.4,SYD,LAX,B,4610.0,682.0,Boeing 737,A,D,British Airways
934,2023-06-22,03:13,3464.0,5.0,18.0,78.75,SYD,BOG,B,1717.0,955.0,Airbus A380,C,B,Qantas
937,2023-07-03,15:24,4847.0,1.0,29.0,180.0,ORD,HND,A,1770.0,407.0,Airbus A320,A,B,Qantas
938,2023-06-20,14:44,2154.0,5.0,24.0,198.45,DXB,HND,B,4161.0,972.0,Airbus A320,C,C,American Airlines
939,2023-07-01,19:02,4612.0,9.0,10.0,113.0,LHR,SIN,A,1636.0,548.0,Airbus A320,A,D,American Airlines
940,2023-06-30,17:00,4284.0,4.0,25.0,82.95,SYD,SIN,B,1128.0,280.0,Airbus A380,C,A,Emirates
941,2023-06-21,02:16,4133.0,7.0,26.0,165.0,LHR,LAX,A,2807.0,561.0,Airbus A320,D,D,Qantas
943,2023-06-11,09:31,3695.0,10.0,29.0,136.0,JFK,LAX,A,1162.0,294.0,Boeing 737,D,A,American Airlines
946,2023-06-16,21:56,3714.0,9.0,28.0,185.0,LHR,LAX,A,3690.0,568.0,Boeing 737,C,B,American Airlines
947,2023-06-14,07:15,3786.0,4.0,26.0,59.85,DXB,CDG,B,3018.0,662.0,Boeing 737,B,A,British Airways
950,2023-06-15,04:06,4511.0,5.0,12.0,110.0,JFK,SIN,A,1771.0,674.0,Airbus A380,D,A,Emirates
955,2023-06-25,19:11,2394.0,3.0,28.0,65.10000000000001,AMS,CDG,B,2609.0,423.0,Airbus A380,D,D,Qantas
957,2023-06-16,18:15,1579.0,2.0,10.0,150.0,ORD,BOG,A,4219.0,500.0,Airbus A380,B,D,British Airways
958,2023-06-12,16:52,4238.0,3.0,12.0,181.65,SYD,SIN,B,1961.0,727.0,Boeing 777,A,B,American Airlines
960,2023-06-14,00:25,3078.0,4.0,21.0,116.0,LHR,SIN,A,3623.0,861.0,Boeing 777,A,D,British Airways
961,2023-06-22,01:43,2412.0,1.0,19.0,105.0,ORD,SIN,A,1343.0,811.0,Airbus A320,D,D,Emirates
963,2023-06-26,09:43,4580.0,7.0,20.0,155.0,ORD,LHR,A,3877.0,647.0,Airbus A380,B,B,Qantas
967,2023-06-16,09:32,3996.0,4.0,15.0,67.2,DXB,BOG,B,2368.0,163.0,Boeing 737,B,D,Emirates
968,2023-06-20,03:37,4859.0,9.0,27.0,67.0,LHR,LAX,A,1819.0,303.0,Airbus A320,A,C,Qantas
971,2023-06-17,19:45,2940.0,10.0,29.0,159.0,ORD,SIN,A,2450.0,877.0,Boeing 737,A,A,American Airlines
972,2023-06-15,20:52,3343.0,2.0,19.0,197.4,AMS,LAX,B,3225.0,641.0,Airbus A320,B,B,Qantas
974,2023-07-02,14:40,1093.0,2.0,23.0,203.7,DXB,CDG,B,1581.0,560.0,Boeing 737,C,B,British Airways
975,2023-06-09,17:56,1785.0,10.0,21.0,71.0,LHR,CDG,A,3149.0,777.0,Boeing 777,D,A,Emirates
977,2023-06-23,14:42,3238.0,6.0,28.0,76.0,LHR,LAX,A,1245.0,263.0,Airbus A320,B,D,Emirates
980,2023-07-03,09:29,2772.0,8.0,19.0,81.9,AMS,LHR,B,4873.0,472.0,Airbus A380,B,D,Emirates
992,2023-06-14,09:53,3425.0,9.0,24.0,73.0,LHR,HND,A,1489.0,853.0,Boeing 737,D,C,American Airlines
996,2023-06-23,13:32,4386.0,7.0,28.0,97.0,JFK,CDG,A,2892.0,441.0,Airbus A320,C,C,American Airlines
998,2023-06-15,13:39,3774.0,10.0,24.0,120.75,AMS,CDG,B,1329.0,262.0,Boeing 737,B,D,Emirates
1001,2023-06-30,00:53,1816.0,10.0,24.0,58.8,SYD,LHR,B,3356.0,766.0,Airbus A320,A,A,Emirates
1003,2023-06-26,12:14,3259.0,5.0,14.0,153.0,JFK,LHR,A,3818.0,171.0,Airbus A320,C,B,British Airways
1004,2023-07-05,08:58,2540.0,2.0,10.0,89.25,SYD,BOG,B,1838.0,265.0,Airbus A320,C,A,American Airlines
1006,2023-06-13,09:26,3807.0,2.0,30.0,178.5,AMS,LAX,B,2510.0,374.0,Airbus A380,C,A,British Airways
1011,2023-06-26,13:33,3797.0,2.0,28.0,198.45,SYD,CDG,B,2409.0,125.0,Boeing 777,B,A,American Airlines
1019,2023-07-04,12:47,2501.0,6.0,20.0,199.5,DXB,BOG,B,3419.0,773.0,Airbus A320,A,D,Qantas
1022,2023-06-16,09:53,2001.0,8.0,25.0,111.0,LHR,LHR,A,4851.0,965.0,Boeing 737,C,B,Emirates
1023,2023-06-17,16:50,1244.0,10.0,18.0,78.0,LHR,LHR,A,4535.0,193.0,Boeing 737,B,C,Qantas
1027,2023-06-08,20:15,1806.0,2.0,25.0,170.0,LHR,HND,A,4571.0,951.0,Airbus A320,D,A,British Airways
1029,2023-06-29,20:57,1815.0,1.0,25.0,59.85,DXB,HND,B,3811.0,104.0,Boeing 777,B,B,British Airways
1030,2023-06-29,23:55,3018.0,4.0,13.0,87.15,AMS,BOG,B,1330.0,719.0,Boeing 777,D,D,Emirates
1031,2023-06-11,06:35,3661.0,8.0,12.0,153.0,LHR,BOG,A,1755.0,970.0,Airbus A320,B,D,Emirates
1033,2023-06-18,16:38,2219.0,9.0,17.0,153.3,DXB,SIN,B,4718.0,124.0,Airbus A380,D,D,British Airways
1036,2023-06-22,08:27,3822.0,8.0,11.0,169.05,SYD,LHR,B,4143.0,408.0,Boeing 737,B,C,British Airways
1037,2023-07-02,05:53,1358.0,4.0,14.0,163.8,SYD,SIN,B,2368.0,434.0,Boeing 737,C,C,American Airlines
1040,2023-06-17,10:45,3390.0,4.0,27.0,176.4,SYD,BOG,B,3898.0,385.0,Boeing 777,D,B,Emirates
1041,2023-07-02,16:44,4418.0,3.0,20.0,96.6,AMS,BOG,B,1528.0,580.0,Airbus A320,C,D,British Airways
1042,2023-06-11,23:57,2160.0,10.0,20.0,187.95,AMS,BOG,B,2884.0,391.0,Airbus A320,D,B,Qantas
1044,2023-06-27,09:03,1952.0,5.0,24.0,88.2,SYD,SIN,B,1049.0,465.0,Airbus A380,A,A,American Airlines
1046,2023-06-20,07:52,1483.0,3.0,29.0,130.20000000000002,SYD,BOG,B,1889.0,742.0,Airbus A320,D,A,British Airways
1048,2023-06-19,07:51,1896.0,5.0,14.0,118.65,AMS,SIN,B,3596.0,916.0,Airbus A380,A,A,American Airlines
1049,2023-06-10,14:26,4384.0,10.0,18.0,198.0,ORD,LAX,A,2673.0,924.0,Boeing 737,B,D,British Airways
1050,2023-07-02,19:32,1008.0,2.0,12.0,70.35000000000001,SYD,CDG,B,4060.0,128.0,Airbus A320,A,A,American Airlines
1051,2023-06-27,19:14,4236.0,10.0,20.0,99.75,AMS,SIN,B,4394.0,778.0,Airbus A320,A,D,British Airways
1053,2023-06-29,20:44,2757.0,9.0,17.0,139.0,JFK,LAX,A,4155.0,648.0,Airbus A380,C,B,British Airways
1054,2023-06-28,06:35,4991.0,10.0,11.0,166.0,LHR,HND,A,2838.0,521.0,Airbus A320,C,B,American Airlines
1055,2023-06-26,07:26,3889.0,8.0,28.0,171.15,AMS,LAX,B,1186.0,440.0,Airbus A380,C,D,Emirates
1060,2023-06-08,07:08,1880.0,9.0,24.0,141.0,LHR,LHR,A,4993.0,394.0,Airbus A380,A,A,British Airways
1062,2023-06-20,22:51,4182.0,7.0,13.0,104.0,JFK,BOG,A,1002.0,327.0,Airbus A320,A,B,British Airways
1065,2023-06-30,12:44,3272.0,2.0,10.0,103.95,SYD,CDG,B,3220.0,671.0,Airbus A320,C,A,Qantas
1067,2023-06-16,06:29,4605.0,5.0,11.0,87.0,JFK,LHR,A,2276.0,840.0,Airbus A380,A,D,Qantas
1069,2023-06-23,16:22,3921.0,8.0,20.0,114.0,LHR,LAX,A,1678.0,995.0,Airbus A380,A,C,American Airlines
1072,2023-06-13,06:35,2785.0,2.0,30.0,167.0,LHR,SIN,A,3674.0,466.0,Airbus A380,C,C,Qantas
1074,2023-06-11,15:16,2374.0,6.0,15.0,139.65,AMS,CDG,B,2334.0,812.0,Boeing 737,D,B,Qantas
1079,2023-06-15,23:06,2840.0,7.0,24.0,68.0,ORD,CDG,A,4139.0,514.0,Boeing 737,B,D,Emirates
1080,2023-06-09,22:35,4863.0,7.0,30.0,121.8,DXB,SIN,B,3501.0,527.0,Airbus A380,D,A,Qantas
1088,2023-06-17,10:36,3310.0,4.0,27.0,173.0,JFK,CDG,A,1964.0,628.0,Boeing 777,C,D,Qantas
1098,2023-06-14,12:46,1769.0,7.0,10.0,130.20000000000002,SYD,CDG,B,2484.0,218.0,Boeing 777,B,D,American Airlines
1099,2023-07-03,17:45,4661.0,7.0,11.0,181.65,SYD,BOG,B,4473.0,357.0,Boeing 737,D,A,Qantas
1102,2023-06-09,10:16,1605.0,1.0,30.0,95.0,LHR,HND,A,2650.0,828.0,Boeing 777,A,A,Qantas
1106,2023-07-02,15:50,1089.0,1.0,15.0,120.0,JFK,LHR,A,3799.0,688.0,Airbus A380,C,B,British Airways
1107,2023-06-25,11:37,1025.0,6.0,26.0,160.65,AMS,LAX,B,1089.0,294.0,Boeing 737,C,A,Qantas
1108,2023-06-11,22:22,1007.0,8.0,19.0,196.35,DXB,SIN,B,4251.0,208.0,Boeing 737,B,B,American Airlines
1110,2023-06-28,02:46,2971.0,4.0,27.0,50.0,JFK,SIN,A,3321.0,768.0,Airbus A380,A,A,Qantas
1111,2023-06-16,07:48,3773.0,8.0,25.0,99.0,ORD,CDG,A,4426.0,272.0,Boeing 777,D,C,American Airlines
1113,2023-06-28,16:02,4439.0,8.0,22.0,100.8,SYD,LHR,B,4354.0,918.0,Boeing 777,D,A,American Airlines
1114,2023-06-24,11:37,2169.0,6.0,26.0,103.95,AMS,LHR,B,3894.0,373.0,Airbus A380,A,C,American Airlines
